ID,beta,se,pval,r2,padj,symbol,chr,start.true,end.true
ENSMUSG00000000001,-1.4986920646173982,3.6922444579887133,0.6851787682969945,0.12193244895769306,0.9998133236560199,Gnai3,3,108107279.99999999,108146146
ENSMUSG00000000049,-1.1371751474921965,3.526282530370719,0.7473679925380851,0.12170838105472881,0.9998133236560199,Apoh,11,108343353.99999999,108414396
ENSMUSG00000000056,-5.253138847384434,3.32119027314295,0.11504521412501853,0.13046490015973455,0.9998133236560199,Narf,11,121237253,121255856
ENSMUSG00000000058,-4.478904522485889,2.747049316276115,0.10433076234638015,0.13103055547453601,0.9998133236560199,Cav2,6,17281185,17289115
ENSMUSG00000000078,-2.0715592514967622,2.8374071369256355,0.46605389153513543,0.12328810310071936,0.9998133236560199,Klf6,13,5861489,5870393
ENSMUSG00000000085,5.157357691648553,3.884510954142649,0.18555838628076562,0.12778454322157862,0.9998133236560199,Scmh1,4,120405280.99999999,120530186
ENSMUSG00000000088,-0.6638745113241802,3.310855246157619,0.8412494511091844,0.12147301334879845,0.9998133236560199,Cox5a,9,57521232,57532424
ENSMUSG00000000093,-4.3899244563063,2.9230793457627264,0.1344704607555049,0.1295733504485308,0.9998133236560199,Tbx2,11,85832551,85841948
ENSMUSG00000000120,0.43628362916721464,1.4205500811942655,0.7590182921654165,0.12167270120697482,0.9998133236560199,Ngfr,11,95568818,95587735
ENSMUSG00000000127,-2.3681662013587683,3.3048442770733852,0.47433942407216056,0.12321623851887231,0.9998133236560199,Fer,17,63896018,64139494
ENSMUSG00000000131,5.673605491436893,4.108460727632557,0.16858765480604243,0.12830926418002042,0.9998133236560199,Xpo6,7,126101715,126200500.99999999
ENSMUSG00000000134,0.12885118221071193,3.6016076667132033,0.9714909430538365,0.12132932643906269,0.9998133236560199,Tfe3,X,7762560,7775201.999999999
ENSMUSG00000000142,3.347084926800196,2.3310240293211426,0.15234778105520771,0.12887109853014422,0.9998133236560199,Axin2,11,108920349,108950783
ENSMUSG00000000148,4.5464464465918235,3.899990165735377,0.24487906008561158,0.12631339835160915,0.9998133236560199,Brat1,5,140705010.99999997,140719379
ENSMUSG00000000149,0.2595197655877161,3.796398121109437,0.9455568801486688,0.12134185313405488,0.9998133236560199,Gna12,5,140758408,140830431
ENSMUSG00000000154,5.312025421946897,3.846414451036928,0.16856414741938486,0.1283100323827182,0.9998133236560199,Slc22a18,7,143473720.99999997,143499334
ENSMUSG00000000159,-0.26696323798542254,3.3275904132151037,0.9361239821708741,0.12134836309594332,0.9998133236560199,Igsf5,16,96361668,96525579.99999999
ENSMUSG00000000168,1.4637496803900312,3.2561022628330445,0.6534509572308922,0.12207005442922436,0.9998133236560199,Dlat,9,50634633,50659780
ENSMUSG00000000171,-4.205475359873927,3.525259299724868,0.23407494516099353,0.12654748526401938,0.9998133236560199,Sdhd,9,50596337.99999999,50603849
ENSMUSG00000000184,-3.2170653131319713,2.759588356311143,0.2448714690936458,0.12631355840538305,0.9998133236560199,Ccnd2,6,127125161.99999999,127152193
ENSMUSG00000000194,4.06382445040311,4.461245775263498,0.36326078458775235,0.12437739570539841,0.9998133236560199,Gpr107,2,31152316,31218774.999999996
ENSMUSG00000000247,-0.1172356184883963,1.795926039260735,0.9480069429557636,0.12134033317233928,0.9998133236560199,Lhx2,2,38339281,38369733
ENSMUSG00000000266,-1.2149272519767642,3.5815834492615797,0.7347467988014031,0.12174921282953144,0.9998133236560199,Mid2,X,140664598.99999997,140767714.99999997
ENSMUSG00000000275,0.450056198069908,4.2019475529193615,0.9147946634386188,0.12136695201456249,0.9998133236560199,Trim25,11,88999376,89020293
ENSMUSG00000000278,-0.0305926891657105,3.16868182237859,0.9923048672292525,0.1213249452331524,0.9998133236560199,Scpep1,11,88924020,88955464.99999999
ENSMUSG00000000282,4.260806837854291,2.980600955602238,0.1541682338260671,0.12880482374012747,0.9998133236560199,Mnt,11,74830919.99999999,74845725
ENSMUSG00000000290,-2.6845766357322605,1.946992245857261,0.16924083236572998,0.1282879675705898,0.9998133236560199,Itgb2,10,77530251.99999999,77565708
ENSMUSG00000000295,-2.2656936776243017,1.5705712890043426,0.1504501504520905,0.12894113927599027,0.9998133236560199,Hddc2,10,31313381.999999996,31328204
ENSMUSG00000000296,-0.4074905810015998,2.745700129311693,0.8821445214021033,0.12140591040503834,0.9998133236560199,Tpd52l1,10,31332379.999999996,31445921
ENSMUSG00000000301,0.5622754130241734,3.6206270677053207,0.8767181789449144,0.1214136314522013,0.9998133236560199,Pemt,11,59970614,60046488.99999999
ENSMUSG00000000303,-1.8277825200864442,1.2479752310422074,0.1443501792859739,0.12917319644268954,0.9998133236560199,Cdh1,8,106603350.99999999,106670245.99999999
ENSMUSG00000000325,4.01271974365431,2.95496802817566,0.17576328795243568,0.12808032057615504,0.9998133236560199,Arvcf,16,18348181.999999996,18407076
ENSMUSG00000000326,-2.3178801876192834,2.755689636802486,0.4011220508685449,0.1239288577278932,0.9998133236560199,Comt,16,18406886,18426852
ENSMUSG00000000339,-1.7028228514421326,3.1416595982538236,0.5883160910867209,0.12240787042908807,0.9998133236560199,Rtca,3,116488963,116508208
ENSMUSG00000000340,0.8621225171301607,3.029834801603675,0.7762406382468074,0.12162341711235503,0.9998133236560199,Dbt,3,116513070,116549980.99999999
ENSMUSG00000000346,1.0375708471749459,4.0045597204715895,0.7957840799982888,0.12157237468028215,0.9998133236560199,Dazap2,15,100615628,100620730.99999999
