phenotypes,gene,chromosome,start,end,minP,CHOL:pValue,CHOL:zStat,CHOL:nParam,CHOL:subjects,chiSquared
["CHOL"],"PVRL2","19",45349432,45392480,5e-324,5e-324,41.26760112443084,,2054562,1e-323
["CHOL"],"PCSK9","1",55505120,55530525,5e-324,5e-324,39.15260750861696,,2027924,1e-323
["CHOL"],"APOB","2",21224301,21266945,5e-324,5e-324,38.841556526226135,,1744935,1e-323
["CHOL"],"LDLR","19",11200138,11244496,5e-324,5e-324,43.18164230292317,,1968372,1e-323
["CHOL"],"TOMM40","19",45393826,45406946,5e-324,5e-324,38.39906058109216,,1890241,1e-323
["CHOL"],"ABCA1","9",107543287,107690436,5e-324,5e-324,44.30375668549177,,2037856,1e-323
["CHOL"],"CELSR2","1",109792161,109818373,1.0110164224982033e-304,1.0110164224982033e-304,37.29440742223063,,1772821,1.011016422498191e-304
["CHOL"],"DOCK6","19",11309971,11373200,1.9036637221539839e-277,1.9036637221539839e-277,35.57192731414369,,1842958,1.9036637221539896e-277
["CHOL"],"APOC1","19",45417504,45422606,7.336277190623824e-271,7.336277190623824e-271,35.143379059623044,,1758355,7.336277190623845e-271
["CHOL"],"APOE","19",45409048,45412650,2.083981154197951e-247,2.083981154197951e-247,33.5729264179897,,2014188,2.0839811541979185e-247
["CHOL"],"LIPC","15",58702768,58862043,6.336491660166596e-241,6.336491660166596e-241,33.1257158257773,,1958833,6.336491660166689e-241
["CHOL"],"ZPR1","11",116644515,116658755,6.932769390074712e-233,6.932769390074712e-233,32.562647988779766,,2047577,6.932769390074473e-233
["CHOL"],"SMARCA4","19",11071608,11190102,2.137266039657087e-219,2.137266039657087e-219,31.595368634811347,,1805715,2.137266039657141e-219
["CHOL"],"CETP","16",56995835,57017757,6.051061296536213e-216,6.051061296536213e-216,31.3430438906969,,2093679,6.051061296536298e-216
["CHOL"],"HPR","16",72097047,72111145,2.8028869934086937e-205,2.8028869934086937e-205,30.550283567217843,,1958460,2.802886993408758e-205
["CHOL"],"PMFBP1","16",72146056,72210777,4.1115892666182435e-199,4.1115892666182435e-199,30.082441446195062,,2028538,4.111589266618131e-199
["CHOL"],"PKD1L3","16",71963441,72034301,5.475075771355738e-199,5.475075771355738e-199,30.072930044675196,,2053417,5.475075771355824e-199
["CHOL"],"HMGCR","5",74632154,74659826,4.3394250700918336e-198,4.3394250700918336e-198,30.004090605999327,,1851847,4.339425070091808e-198
["CHOL"],"COL4A3BP","5",74652170,74807963,5.000754591881602e-189,5.000754591881602e-189,29.301237656520705,,1785629,5.000754591881491e-189
["CHOL"],"POLK","5",74807670,74905816,9.079434412351468e-185,9.079434412351468e-185,28.965013885088982,,1765353,9.079434412351331e-185
["CHOL"],"CARM1","19",10982229,11033751,7.1297226563507844e-180,7.1297226563507844e-180,28.57370811760712,,1767527,7.129722656350589e-180
["CHOL"],"DOCK7","1",62919969,63154057,1.2714685183159669e-179,1.2714685183159669e-179,28.553480310938877,,1807928,1.2714685183159669e-179
