SNP,cluster,probability,cluster_mean,theta,theta_se,cluster_class,nearest_gene,mechanism,beta.exposure,beta.outcome
rs11725618,2,0.996,-0.113,0.0138642413487134,0.2578748890860692,2,MIR1269A,other_pleiotropic,0.036064,5e-4
rs11852372,2,1,-0.113,-0.14193958525143582,0.046582489368231846,2,HYKK,nAChR_pharmacodynamic,0.182472,-0.0259
rs1579233,2,0.995,-0.113,0.08170935980716591,0.2608414178459527,2,LINC00919,other_pleiotropic,-0.0318201,-0.0026
rs2072659,2,0.998,-0.113,-0.2957772812397513,0.2130209434835514,2,CHRNB2,nAChR_pharmacodynamic,-0.0652518,0.0193
rs2084533,2,0.997,-0.113,-0.0980957533456597,0.2615886755884259,2,PLCL2,other_pleiotropic,0.0336406,-0.0033
rs215600,2,0.995,-0.113,0.04873066763045098,0.1725877811911806,2,PDE1C,other_pleiotropic,-0.0492503,-0.0024
rs2273500,2,0.999,-0.113,-0.30692955893194385,0.1659475605708596,2,CHRNA4,nAChR_pharmacodynamic,0.0680938,-0.0209
rs2424888,2,0.998,-0.113,-0.5196387614678898,0.2568329510703364,2,NOL4L,other_pleiotropic,0.0334848,-0.0174
rs3025383,2,0.998,-0.113,-0.21265780765360637,0.1832660781405063,2,DBH,reward_behavioral,-0.0578394,0.0123
rs34406232,2,0.997,-0.113,-0.07687493196908675,0.18164253836943506,2,EGLN2,nicotine_metabolism,-0.146992,0.0113
rs4785587,2,0.991,-0.113,0.3717770646267507,0.24685997091216247,2,VPS9D1,other_pleiotropic,-0.0336223,-0.0125
rs56113850,2,0.999,-0.113,-0.12499417004803881,0.08301851592742876,2,CYP2G1P,nicotine_metabolism,0.107205,-0.0134
rs58379124,2,0.996,-0.113,-0.03137165854489284,0.1449071847073622,2,CHRNB3,nAChR_pharmacodynamic,0.0669394,-0.0021
rs632811,1,1,1.239,1.2910711805129964,0.2396925398420753,1,MINDY2,other_pleiotropic,-0.0367137,-0.0474
rs73229090,1,1,1.239,1.1930184989953054,0.22887212896133502,1,CLU,other_pleiotropic,0.0554895,0.0662
rs7431710,2,0.998,-0.113,-0.46341456437600653,0.24314961711086766,2,SLC25A20,other_pleiotropic,-0.0349579,0.0162
rs75494138,2,0.997,-0.113,-0.2154441740722122,0.2738980197507194,2,AMBRA1,other_pleiotropic,0.0598763,-0.0129
rs790564,2,0.995,-0.113,0.1271620607101023,0.22253360624267904,2,LINC01414,other_pleiotropic,-0.0408927,-0.0052
rs7928017,2,0.996,-0.113,0.024292924078539026,0.25203908731484237,2,DRD2,reward_behavioral,-0.0329314,-8e-4
rs7951365,2,0.993,-0.113,0.26186680222124664,0.2284916215459897,2,SOX6,other_pleiotropic,0.0389511,0.0102
rs806798,2,0.995,-0.113,0.14910520668898922,0.2657962380108069,2,H2AC8,other_pleiotropic,-0.030850700000000002,-0.0046
rs895330,2,0.996,-0.113,0.010255332131750252,0.28202163362313193,2,ZBTB7A,other_pleiotropic,-0.0390041,-4e-4
